field_season,date_collected,species,plot,sex,weight,scale_calibrated
2013,2013-07-16,dm,2,f,NA,y
2013,2013-07-16,dm,7,m,33,y
2013,2013-07-16,dm,3,m,NA,y
2013,2013-07-16,dm,1,m,NA,y
2013,2013-07-18,dm,3,m,40,y
2013,2013-07-18,dm,7,m,48,y
2013,2013-07-18,dm,4,f,29,y
2013,2013-07-18,dm,6,f,37,y
2013,2013-08-19,do,8,f,52,y
2013,2013-10-17,do,3,f,33,y
2013,2013-10-17,do,3,f,50,y
2013,2013-12-10,do,9,f,40,y
2013,2013-12-10,do,1,m,45,y
2013,2013-12-11,do,8,f,41,y
2013,2013-11-12,ds,9,f,117,y
2013,2013-11-13,ds,11,f,126,y
2013,2013-11-13,ds,17,m,132,n
2013,2013-11-13,ds,14,f,113,n
2013,2013-11-13,ds,11,f,122,y
2013,2013-11-13,ds,4,f,107,y
2013,2013-11-13,ds,4,f,115,y
2014,2014-01-09,dm,1,m,40,y
2014,2014-01-09,dm,1,f,36,y
2014,2014-03-13,dm,1,f,51,y
2014,2014-03-13,dm,1,f,44,y
2014,2023-03-13,ds,1,f,146,y
2014,2014-01-08,na,2,NA,NA,y
2014,2014-01-08,dm,2,m,44,y
2014,2014-01-08,pf,2,f,7,y
2014,2014-01-08,dm,2,m,45,y
2014,2014-01-08,ot,2,NA,NA,y
2014,2014-01-08,ds,2,m,157,n
2014,2014-01-08,ox,2,NA,NA,y
2014,2014-02-18,na,2,m,218,n
2014,2014-02-18,pf,2,f,7,y
2014,2014-02-18,dm,2,m,52,y
2014,2014-03-11,pf,3,m,8,y
2014,2014-04-08,na,3,f,NA,y
2014,2014-05-06,NA,3,NA,NA,y
2014,2014-05-18,na,3,f,182,y
2014,2014-06-09,ot,3,f,29,y
2014,2014-07-08,na,3,f,115,y
2014,2014-07-08,na,3,m,190,y
2014,1978-01-08,dm,4,f,37,y
2014,1978-01-08,dm,4,m,NA,y
2014,1978-01-08,dm,4,f,48,y
2014,1978-01-08,do,4,m,52,y
2014,1978-01-08,ol,4,m,35,y
